_id,neighborhood,school,enrolled_students
278,Larimer,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,36
279,Larimer,PITTSBURGH OBAMA IB 6-12,26
280,Larimer,PITTSBURGH DILWORTH PreK-5,15
281,Larimer,PITTSBURGH FULTON PreK-5,12
282,Larimer,PITTSBURGH LINDEN K-5,11
283,Larimer,PITTSBURGH STERRETT 6-8,11
284,Lincoln Place,PITTSBURGH MIFFLIN PreK-8,114
285,Lincoln Place,PITTSBURGH ALLDERDICE HIGH SCHOOL,68
286,Lincoln Place,Other,49
287,Lincoln Place,PITTSBURGH GREENFIELD PreK-8,12
288,Lincoln-Lemington-Belmar,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,87
289,Lincoln-Lemington-Belmar,Other,83
290,Lincoln-Lemington-Belmar,PITTSBURGH LINCOLN PreK-5,79
291,Lincoln-Lemington-Belmar,PITTSBURGH COLFAX K-8,46
292,Lincoln-Lemington-Belmar,PITTSBURGH OBAMA IB 6-12,46
293,Lincoln-Lemington-Belmar,PITTSBURGH ALLDERDICE HIGH SCHOOL,34
294,Lincoln-Lemington-Belmar,PITTSBURGH DILWORTH PreK-5,26
295,Lincoln-Lemington-Belmar,PITTSBURGH LINDEN K-5,22
296,Lincoln-Lemington-Belmar,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,20
297,Lincoln-Lemington-Belmar,PITTSBURGH STERRETT 6-8,19
298,Lincoln-Lemington-Belmar,PITTSBURGH LIBERTY K-5,17
299,Lincoln-Lemington-Belmar,PITTSBURGH FULTON PreK-5,16
300,Lincoln-Lemington-Belmar,PITTSBURGH CAPA 6-12,13
301,Lower Lawrenceville,Other,60
302,Lower Lawrenceville,PITTSBURGH WOOLSLAIR PreK-5,24
303,Manchester,Other,66
304,Manchester,PITTSBURGH ALLEGHENY K-5,20
305,Manchester,PITTSBURGH OBAMA IB 6-12,12
306,Manchester,PITTSBURGH PERRY HIGH SCHOOL,12
307,Marshall-Shadeland,PITTSBURGH MORROW PreK-8,188
308,Marshall-Shadeland,Other,99
309,Marshall-Shadeland,PITTSBURGH PERRY HIGH SCHOOL,52
310,Marshall-Shadeland,PITTSBURGH ALLEGHENY K-5,37
311,Marshall-Shadeland,PITTSBURGH CAPA 6-12,18
312,Marshall-Shadeland,PITTSBURGH OBAMA IB 6-12,18
313,Marshall-Shadeland,PITTSBURGH MANCHESTER PreK-8,16
314,Marshall-Shadeland,PITTSBURGH MORROW EARLY CHILDHOOD,16
315,Marshall-Shadeland,PITTSBURGH BRASHEAR HIGH SCHOOL,12
316,Marshall-Shadeland,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
317,Middle Hill,Other,79
318,Middle Hill,PITTSBURGH MILLER PreK-5,59
319,Middle Hill,PITTSBURGH MILLIONES 6-12,36
320,Middle Hill,PITTSBURGH LIBERTY K-5,23
321,Middle Hill,PITTSBURGH WEIL PreK-5,16
322,Middle Hill,PITTSBURGH OBAMA IB 6-12,15
323,Morningside,Other,64
324,Morningside,PITTSBURGH SUNNYSIDE PreK-8,38
325,Morningside,PITTSBURGH OBAMA IB 6-12,26
326,Morningside,PITTSBURGH DILWORTH PreK-5,24
327,Morningside,PITTSBURGH MONTESSORI PreK-5,14
328,Morningside,PITTSBURGH CAPA 6-12,13
329,Mount Oliver,Other,37
330,Mount Oliver,PITTSBURGH ARLINGTON PreK-8,25
331,Mount Oliver,PITTSBURGH CARRICK HIGH SCHOOL,14
332,Mount Oliver Borough,Other,142
333,Mount Oliver Borough,PITTSBURGH ARLINGTON PreK-8,128
334,Mount Oliver Borough,PITTSBURGH CARRICK HIGH SCHOOL,80
335,Mount Oliver Borough,PITTSBURGH CARMALT PreK-8,37
336,Mount Oliver Borough,PITTSBURGH CONCORD K-5,37
